C1,C2,C3,T1,T2,T3
27.9236030334,27.6826178722,26.6613245255,28.1372245886,27.7111577254,28.2164435264
21.4522156349,22.1425754596,24.8226412993,21.8424047568,22.0478527852,24.638625365
25.9318303573,25.7337294603,23.1511113583,26.234186417,26.0981227679,23.0452582041
28.3408437387,28.6175829569,27.8881385265,28.5413343478,28.9100383123,28.0888556211
25.6439501444,22.0422795858,24.5052699309,25.8620547759,22.0536622512,24.9400609334
22.525815548,22.8206459681,23.7714776748,21.7533708475,23.1206867511,23.5327279996
23.5761349018,23.4946619914,21.9064534505,24.4562491882,23.439884846,22.1987500802
22.1506115595,26.104623281,25.4683182545,22.5669109638,25.9347772354,25.5511697622
25.2979510136,25.7638093997,26.0380098636,25.693154335,26.0155471166,26.0818898617
25.2026171073,25.9033700258,25.7281565788,24.9134599979,25.8188973451,25.7374042853
28.1219052535,27.0033374933,21.9324098245,27.8948103587,26.9968880629,21.8553739694
23.7621536255,23.8095895816,23.7319405874,24.5663275596,24.2217895312,24.0929274926
21.2690633138,21.8730481221,21.6590986741,21.9829008396,22.0471854577,21.993489779
24.3924360764,23.7901755113,23.1344369253,24.5764130323,23.7170858139,22.7925551977
27.9236030334,27.6826178722,26.6613245255,28.1372245886,27.7111577254,28.2164435264
28.3408437387,28.6175829569,27.8881385265,28.5413343478,28.9100383123,28.0888556211
24.3924360764,23.7901755113,23.1344369253,24.5764130323,23.7170858139,22.7925551977
28.3408437387,28.6175829569,27.8881385265,28.5413343478,28.9100383123,28.0888556211
24.3924360764,23.7901755113,23.1344369253,24.5764130323,23.7170858139,22.7925551977
21.7843860235,22.2629209665,22.525815548,21.9891771414,21.8944153663,22.4872359007
27.3313632378,26.4698257691,26.9766061734,27.0250805586,26.3350436871,26.8656190481
21.8126479173,21.3096205393,22.492170285,23.3660956163,22.5669109638,22.7332352125
24.5344766226,23.6817002908,23.9563435286,24.1918032475,23.8704439799,23.9821090454
24.8826504487,24.5078043082,24.8654793226,25.228086227,24.683956782,24.8778736652
27.2132381537,26.7395684658,26.4468425604,26.988293012,26.4344207324,26.1448544233
